v2_line,v2_queue,stage,family,v2_dup2,contract_path,group_key,catalog_nodekey_v2,catalog_nodekey_parsed,queue_in_registry
1740,enrich:ai:contact-parse,E1,ai-enrichment,no,docs/CognitiveBrain/contracts/neurons/E1/enrich--ai--contact-parse.md,E1|enrich--ai--contact-parse,,,no
1762,enrich:ai:industry-classify,E1,ai-enrichment,no,docs/CognitiveBrain/contracts/neurons/E1/enrich--ai--industry-classify.md,E1|enrich--ai--industry-classify,,,no
1784,enrich:ai:text-structure,E1,ai-enrichment,no,docs/CognitiveBrain/contracts/neurons/E1/enrich--ai--text-structure.md,E1|enrich--ai--text-structure,,,no
1806,bronze:dedup:hash-checker,E1,bronze-dedup,no,docs/CognitiveBrain/contracts/neurons/E1/bronze--dedup--hash-checker.md,E1|bronze--dedup--hash-checker,,,no
1828,silver:dedup:entity-resolve,E1,dedup,no,docs/CognitiveBrain/contracts/neurons/E1/silver--dedup--entity-resolve.md,E1|silver--dedup--entity-resolve,,,no
1850,silver:dedup:fuzzy-match,E1,dedup,no,docs/CognitiveBrain/contracts/neurons/E1/silver--dedup--fuzzy-match.md,E1|silver--dedup--fuzzy-match,,,no
1872,enrich:anaf:address,E1,enrichment,no,docs/CognitiveBrain/contracts/neurons/E1/enrich--anaf--address.md,E1|enrich--anaf--address,,,no
1894,enrich:anaf:caen,E1,enrichment,no,docs/CognitiveBrain/contracts/neurons/E1/enrich--anaf--caen.md,E1|enrich--anaf--caen,e1:enrich:anaf-caen,e1:enrich:anaf-caen,yes
1919,enrich:anaf:efactura,E1,enrichment,no,docs/CognitiveBrain/contracts/neurons/E1/enrich--anaf--efactura.md,E1|enrich--anaf--efactura,e1:enrich:anaf-efactura,e1:enrich:anaf-efactura,yes
1944,enrich:anaf:fiscal-status,E1,enrichment,no,docs/CognitiveBrain/contracts/neurons/E1/enrich--anaf--fiscal-status.md,E1|enrich--anaf--fiscal-status,e1:enrich:anaf-fiscal,e1:enrich:anaf-fiscal,yes
1969,enrich:anaf:tva-status,E1,enrichment,no,docs/CognitiveBrain/contracts/neurons/E1/enrich--anaf--tva-status.md,E1|enrich--anaf--tva-status,e1:enrich:anaf-tva,e1:enrich:anaf-tva,yes
