synapse_id,bucket,areal_dir,pathway_slug,contract_path
ai-agent-generate-family,pathway,ai-agent,ai-agent-generate,docs/CognitiveBrain/contracts/synapses/ai-agent/ai-agent-generate/ai-agent-generate-family.md
ai-agent-generate-negotiation-expire-check,pathway,ai-agent,ai-agent-generate,docs/CognitiveBrain/contracts/synapses/ai-agent/ai-agent-generate/ai-agent-generate-negotiation-expire-check.md
ai-agent-generate-negotiation-reminder-send,pathway,ai-agent,ai-agent-generate,docs/CognitiveBrain/contracts/synapses/ai-agent/ai-agent-generate/ai-agent-generate-negotiation-reminder-send.md
ai-agent-generate-negotiation-state-transition,pathway,ai-agent,ai-agent-generate,docs/CognitiveBrain/contracts/synapses/ai-agent/ai-agent-generate/ai-agent-generate-negotiation-state-transition.md
ai-agent-generate-negotiation-summary-generate,pathway,ai-agent,ai-agent-generate,docs/CognitiveBrain/contracts/synapses/ai-agent/ai-agent-generate/ai-agent-generate-negotiation-summary-generate.md
ai-agent-orchestrate-family,pathway,ai-agent,ai-agent-orchestrate,docs/CognitiveBrain/contracts/synapses/ai-agent/ai-agent-orchestrate/ai-agent-orchestrate-family.md
ai-agent-orchestrate-negotiation-expire-check,pathway,ai-agent,ai-agent-orchestrate,docs/CognitiveBrain/contracts/synapses/ai-agent/ai-agent-orchestrate/ai-agent-orchestrate-negotiation-expire-check.md
ai-agent-orchestrate-negotiation-reminder-send,pathway,ai-agent,ai-agent-orchestrate,docs/CognitiveBrain/contracts/synapses/ai-agent/ai-agent-orchestrate/ai-agent-orchestrate-negotiation-reminder-send.md
ai-agent-orchestrate-negotiation-state-transition,pathway,ai-agent,ai-agent-orchestrate,docs/CognitiveBrain/contracts/synapses/ai-agent/ai-agent-orchestrate/ai-agent-orchestrate-negotiation-state-transition.md
ai-agent-orchestrate-negotiation-summary-generate,pathway,ai-agent,ai-agent-orchestrate,docs/CognitiveBrain/contracts/synapses/ai-agent/ai-agent-orchestrate/ai-agent-orchestrate-negotiation-summary-generate.md
ai-agent-response-generate-family,pathway,ai-agent,ai-agent-response-generate,docs/CognitiveBrain/contracts/synapses/ai-agent/ai-agent-response-generate/ai-agent-response-generate-family.md
ai-agent-response-generate-negotiation-expire-check,pathway,ai-agent,ai-agent-response-generate,docs/CognitiveBrain/contracts/synapses/ai-agent/ai-agent-response-generate/ai-agent-response-generate-negotiation-expire-check.md
